Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
FCHL,2026-03-31,2.05,56.37,-70.08,41.38,1.53,43.09,1.31,-6.45,7.89,1927613.0,2323336.0,,348.69,-8.89,-98.21,32.26,0.0,,,,,,nan,nan,nan,-16.59,21.463414634146364,-5.85365853658536,3.9024390243902474,17.073170731707325,True,True,SL_HIT,-5.85,nan,nan,14:58
GVH,2026-03-31,2.25,92.92,-212.41,50.0,3.6,83.71,5.37,-1.32,8.7,6623166.0,4770000.0,,289.62,-11.07,-99.38,48.03,22.0,,,,,,nan,nan,nan,-24.44,28.44444444444445,2.2222222222222143,-11.11111111111111,25.333333333333325,True,True,SL_HIT,2.22,nan,nan,14:27
KIDZ,2026-03-31,3.17,47.45,-7027.11,-12.43,100.0,44.15,2.12,76.59,-8.56,87683723.0,3900000.0,,7987.72,-26.96,-99.4,54.63,8.81,,,,,,nan,nan,nan,-13.25,16.40378548895899,1.89274447949527,10.410094637223978,6.309148264984232,True,True,SL_HIT,1.89,nan,nan,10:33
MASK,2026-03-31,2.6,80.7,-10611.93,60.39,100.0,40.9,3.03,30.73,3.59,121127227.0,2940000.0,,11098.18,-21.69,-97.4,109.68,46.51,,,,,,nan,nan,nan,-38.46,0.0,-14.230769230769235,-16.92307692307692,-27.6923076923077,True,False,TP_HIT,-14.23,nan,nan,10:41
SOGP,2026-03-31,16.88,35.19,70.01,-22.39,18.07,70.08,5.54,32.06,-8.56,1247642.0,70220800.0,,41.53,-28.17,-54.38,2.49,4.97,,,,,,nan,nan,nan,-12.01,10.781990521327016,0.8886255924170743,-8.53080568720379,4.680094786729875,True,True,SL_HIT,0.89,nan,nan,08:51
SST,2026-03-31,2.98,16.15,42.98,-26.11,3.26,56.83,2.09,28.66,-9.86,5700326.0,29843818.0,,70.52,-28.25,-80.1,-4.94,0.0,,,,,,nan,nan,nan,4.7,94.63087248322147,7.046979865771812,75.16778523489933,17.785234899328852,False,True,SL_HIT,7.05,nan,nan,08:55
UGRO,2026-03-31,22.08,44.83,-399.94,5.14,0.75,64.19,1.54,1.84,-5.13,3757661.0,16595814.0,,499.94,-20.4,-40.32,7.08,12.78,,,,,,nan,nan,nan,-18.25,19.56521739130435,9.827898550724647,-0.4528985507246281,-13.813405797101439,True,True,SL_HIT,9.83,nan,nan,11:55
AGPU,2026-04-01,3.51,99.63,-2213.51,89.73,100.0,72.23,5.56,14.2,10.49,78567168.0,11920000.0,,2315.21,-15.83,-89.07,116.67,95.26,,,,,,nan,nan,nan,-13.96,84.04558404558405,0.8547008547008619,15.954415954415971,28.20512820512821,True,True,SL_HIT,0.85,nan,nan,10:37
ASTC,2026-04-01,4.45,43.77,-129.82,-28.23,2.07,69.55,4.24,18.55,-7.93,4042343.0,7827345.0,,229.82,-31.01,-44.44,-14.91,0.0,,,,,,nan,nan,nan,-29.66,9.6629213483146,2.921348314606739,-10.561797752808992,-17.528089887640455,True,True,SL_HIT,2.92,nan,nan,14:34
BCG,2026-04-01,2.51,45.17,-83.81,-19.81,100.0,60.5,5.22,55.72,-4.5,30515058.0,41670000.0,,183.8,-20.06,-27.03,24.88,5.49,,,,,,nan,nan,nan,-19.12,0.3984063745020013,-14.34262948207171,-7.968127490039831,-16.334661354581662,True,False,TP_HIT,-14.34,nan,nan,09:38
BIAF,2026-04-01,3.96,28.08,-116.59,-7.02,1.14,62.65,1.17,11.23,-4.72,9741763.0,17814888.0,,216.55,-15.73,-87.66,3.42,3.84,,,,,,nan,nan,nan,-9.34,10.606060606060606,-5.555555555555549,-1.010101010101011,-1.010101010101011,False,True,SL_HIT,-5.56,nan,nan,14:59
CYCN,2026-04-01,6.34,74.74,-6265.66,16.76,100.0,95.38,5.15,250.32,-5.89,249706603.0,24870000.0,,6560.5,-25.24,-25.24,309.03,44.6,,,,,,nan,nan,nan,-55.99,6.466876971608835,-22.08201892744479,-2.9968454258675,-54.41640378548895,True,False,TP_HIT,-22.08,nan,nan,13:24
ELAB,2026-04-01,12.47,97.66,-2869.03,78.14,9.29,71.68,4.96,16.86,17.35,34404554.0,14450000.0,,6354.02,-2.95,-97.33,108.18,72.48,,,,,,nan,nan,nan,-73.54,-44.58700882117081,-58.059342421812346,-54.129911788291906,-63.913392141138736,True,False,TP_HIT,-58.06,nan,nan,14:54
